  Iteration		V-variation
    203		  365
    204		  541
    205		  667
    206		  622
    207		  273
    208		  365
    209		  541
    210		  667
    211		  622
    212		  273
    213		  365
    214		  541
    215		  667
    216		  622
    217		  273
    218		  365
    219		  541
    220		  667
    221		  622
    222		  273
    223		  365
    224		  541
    225		  667
    226		  622
    227		  273
    228		  365
    229		  541
    230		  667
    231		  622
    232		  273
    233		  365
    234		  541
    235		  667
    236		  622
    237		  273
    238		  365
    239		  541
    240		  667
    241		  622
    242		  273
    243		  365
    244		  541
    245		  667
    246		  622
    247		  273
    248		  365
    249		  541
    250		  667
    251		  622
    252		  273
    253		  365
    254		  541
    255		  667
    256		  622
    257		  273
    258		  365
    259		  541
    260		  667
    261		  622
    262		  273
    263		  365
    264		  541
    265		  667
    266		  622
    267		  273
    268		  365
    269		  541
    270		  667
    271		  622
    272		  273
    273		  365
    274		  541
    275		  667
    276		  622
    277		  273
    278		  365
    279		  541
    280		  667
    281		  622
    282		  273
    283		  365
    284		  541
    285		  667
    286		  622
    287		  273
    288		  365
    289		  541
    290		  667
    291		  622
    292		  273
    293		  365
    294		  541
    295		  667
    296		  622
    297		  273
    298		  365
    299		  541
    300		  667
    301		  622
    302		  273
    303		  365
    304		  541
    305		  667
    306		  622
    307		  273
    308		  365
    309		  541
    310		  667
    311		  622
    312		  273
    313		  365
    314		  541
    315		  667
    316		  622
    317		  273
    318		  365
    319		  541
    320		  667
    321		  622
    322		  273
    323		  365
    324		  541
    325		  667
    326		  622
    327		  273
    328		  365
    329		  541
    330		  667
    331		  622
    332		  273
    333		  365
    334		  541
    335		  667
    336		  622
    337		  273
    338		  365
    339		  541
    340		  667
    341		  622
    342		  273
    343		  365
    344		  541
    345		  667
    346		  622
    347		  273
    348		  365
    349		  541
    350		  667
    351		  622
    352		  273
    353		  365
    354		  541
    355		  667
    356		  622
    357		  273
    358		  365
    359		  541
    360		  667
    361		  622
    362		  273
    363		  365
    364		  541
    365		  667
    366		  622
    367		  273
    368		  365
    369		  541
    370		  667
    371		  622
    372		  273
    373		  365
    374		  541
    375		  667
    376		  622
    377		  273
    378		  365
    379		  541
    380		  667
    381		  622
    382		  273
    383		  365
    384		  541
    385		  667
    386		  622
    387		  273
    388		  365
    389		  541
    390		  667
    391		  622
    392		  273
    393		  365
    394		  541
    395		  667
    396		  622
    397		  273
    398		  365
    399		  541
    400		  667
    401		  622
    402		  273
    403		  365
    404		  541
    405		  667
    406		  622
    407		  273
    408		  365
    409		  541
    410		  667
    411		  622
    412		  273
    413		  365
    414		  541
    415		  667
    416		  622
    417		  273
    418		  365
    419		  541
    420		  667
    421		  622
    422		  273
    423		  365
    424		  541
    425		  667
    426		  622
    427		  273
    428		  365
    429		  541
    430		  667
    431		  622
    432		  273
    433		  365
    434		  541
    435		  667
    436		  622
    437		  273
    438		  365
    439		  541
    440		  667
    441		  622
    442		  273
    443		  365
    444		  541
    445		  667
    446		  622
    447		  273
    448		  365
    449		  541
    450		  667
    451		  622
    452		  273
    453		  365
    454		  541
    455		  667
    456		  622
    457		  273
    458		  365
    459		  541
    460		  667
    461		  622
    462		  273
    463		  365
    464		  541
    465		  667
    466		  622
    467		  273
    468		  365
    469		  541
    470		  667
    471		  622
    472		  273
    473		  365
    474		  541
    475		  667
    476		  622
    477		  273
    478		  365
    479		  541
    480		  667
    481		  622
    482		  273
    483		  365
    484		  541
    485		  667
    486		  622
    487		  273
    488		  365
    489		  541
    490		  667
    491		  622
    492		  273
    493		  365
    494		  541
    495		  667
    496		  622
    497		  273
    498		  365
    499		  541
    500		  667
    501		  622
    502		  273
    503		  365
    504		  541
    505		  667
    506		  622
    507		  273
    508		  365
    509		  541
    510		  667
    511		  622
    512		  273
    513		  365
    514		  541
    515		  667
    516		  622
    517		  273
    518		  365
    519		  541
    520		  667
    521		  622
    522		  273
    523		  365
    524		  541
    525		  667
    526		  622
    527		  273
    528		  365
    529		  541
    530		  667
    531		  622
    532		  273
    533		  365
    534		  541
    535		  667
    536		  622
    537		  273
    538		  365
    539		  541
    540		  667
    541		  622
    542		  273
    543		  365
    544		  541
    545		  667
    546		  622
    547		  273
    548		  365
    549		  541
    550		  667
    551		  622
    552		  273
    553		  365
    554		  541
    555		  667
    556		  622
    557		  273
    558		  365
    559		  541
    560		  667
    561		  622
    562		  273
    563		  365
    564		  541
    565		  667
    566		  622
    567		  273
    568		  365
    569		  541
    570		  667
    571		  622
    572		  273
    573		  365
    574		  541
    575		  667
    576		  622
    577		  273
    578		  365
    579		  541
    580		  667
    581		  622
    582		  273
    583		  365
    584		  541
    585		  667
    586		  622
    587		  273
    588		  365
    589		  541
    590		  667
    591		  622
    592		  273
    593		  365
    594		  541
    595		  667
    596		  622
    597		  273
    598		  365
    599		  541
    600		  667
    601		  622
    602		  273
    603		  365
    604		  541
    605		  667
    606		  622
    607		  273
    608		  365
    609		  541
    610		  667
    611		  622
    612		  273
    613		  365
    614		  541
    615		  667
    616		  622
    617		  273
    618		  365
    619		  541
    620		  667
    621		  622
    622		  273
    623		  365
    624		  541
    625		  667
    626		  622
    627		  273
    628		  365
    629		  541
    630		  667
    631		  622
    632		  273
    633		  365
    634		  541
    635		  667
    636		  622
    637		  273
    638		  365
    639		  541
    640		  667
    641		  622
    642		  273
    643		  365
    644		  541
    645		  667
    646		  622
    647		  273
    648		  365
    649		  541
    650		  667
    651		  622
    652		  273
    653		  365
    654		  541
    655		  667
    656		  622
    657		  273
    658		  365
    659		  541
    660		  667
    661		  622
    662		  273
    663		  365
    664		  541
    665		  667
    666		  622
    667		  273
    668		  365
    669		  541
    670		  667
    671		  622
    672		  273
    673		  365
    674		  541
    675		  667
    676		  622
    677		  273
    678		  365
    679		  541
    680		  667
    681		  622
    682		  273
    683		  365
    684		  541
    685		  667
    686		  622
    687		  273
    688		  365
    689		  541
    690		  667
    691		  622
    692		  273
    693		  365
    694		  541
    695		  667
    696		  622
    697		  273
    698		  365
    699		  541
    700		  667
    701		  622
    702		  273
    703		  365
    704		  541
    705		  667
    706		  622
    707		  273
    708		  365
    709		  541
    710		  667
    711		  622
    712		  273
    713		  365
    714		  541
    715		  667
    716		  622
    717		  273
    718		  365
    719		  541
    720		  667
    721		  622
    722		  273
    723		  365
    724		  541
    725		  667
    726		  622
    727		  273
    728		  365
    729		  541
    730		  667
    731		  622
    732		  273
    733		  365
    734		  541
    735		  667
    736		  622
    737		  273
    738		  365
    739		  541
    740		  667
    741		  622
    742		  273
    743		  365
    744		  541
    745		  667
    746		  622
    747		  273
    748		  365
    749		  541
    750		  667
    751		  622
    752		  273
    753		  365
    754		  541
    755		  667
    756		  622
    757		  273
    758		  365
    759		  541
    760		  667
    761		  622
    762		  273
    763		  365
    764		  541
    765		  667
    766		  622
    767		  273
    768		  365
    769		  541
    770		  667
    771		  622
    772		  273
    773		  365
    774		  541
    775		  667
    776		  622
    777		  273
    778		  365
    779		  541
    780		  667
    781		  622
    782		  273
    783		  365
    784		  541
    785		  667
    786		  622
    787		  273
    788		  365
    789		  541
    790		  667
    791		  622
    792		  273
    793		  365
    794		  541
    795		  667
    796		  622
    797		  273
    798		  365
    799		  541
    800		  667
    801		  622
    802		  273
    803		  365
    804		  541
    805		  667
    806		  622
    807		  273
    808		  365
    809		  541
    810		  667
    811		  622
    812		  273
    813		  365
    814		  541
    815		  667
    816		  622
    817		  273
    818		  365
    819		  541
    820		  667
    821		  622
    822		  273
    823		  365
    824		  541
    825		  667
    826		  622
    827		  273
    828		  365
    829		  541
    830		  667
    831		  622
    832		  273
    833		  365
    834		  541
    835		  667
    836		  622
    837		  273
    838		  365
    839		  541
    840		  667
    841		  622
    842		  273
    843		  365
    844		  541
    845		  667
    846		  622
    847		  273
    848		  365
    849		  541
    850		  667
    851		  622
    852		  273
    853		  365
    854		  541
    855		  667
    856		  622
    857		  273
    858		  365
    859		  541
    860		  667
    861		  622
    862		  273
    863		  365
    864		  541
    865		  667
    866		  622
    867		  273
    868		  365
    869		  541
    870		  667
    871		  622
    872		  273
    873		  365
    874		  541
    875		  667
    876		  622
    877		  273
    878		  365
    879		  541
    880		  667
    881		  622
    882		  273
    883		  365
    884		  541
    885		  667
    886		  622
    887		  273
    888		  365
    889		  541
    890		  667
    891		  622
    892		  273
    893		  365
    894		  541
    895		  667
    896		  622
    897		  273
    898		  365
    899		  541
    900		  667
    901		  622
    902		  273
    903		  365
    904		  541
    905		  667
    906		  622
    907		  273
    908		  365
    909		  541
    910		  667
    911		  622
    912		  273
    913		  365
    914		  541
    915		  667
    916		  622
    917		  273
    918		  365
    919		  541
    920		  667
    921		  622
    922		  273
    923		  365
    924		  541
    925		  667
    926		  622
    927		  273
    928		  365
    929		  541
    930		  667
    931		  622
    932		  273
    933		  365
    934		  541
    935		  667
    936		  622
    937		  273
    938		  365
    939		  541
    940		  667
    941		  622
    942		  273
    943		  365
    944		  541
    945		  667
    946		  622
    947		  273
    948		  365
    949		  541
    950		  667
    951		  622
    952		  273
    953		  365
    954		  541
    955		  667
    956		  622
    957		  273
    958		  365
    959		  541
    960		  667
    961		  622
    962		  273
    963		  365
    964		  541
    965		  667
    966		  622
    967		  273
    968		  365
    969		  541
    970		  667
    971		  622
    972		  273
    973		  365
    974		  541
    975		  667
    976		  622
    977		  273
    978		  365
    979		  541
    980		  667
    981		  622
    982		  273
    983		  365
    984		  541
    985		  667
    986		  622
    987		  273
    988		  365
    989		  541
    990		  667
    991		  622
    992		  273
    993		  365
    994		  541
    995		  667
    996		  622
    997		  273
    998		  365
    999		  541
    1000		  667
