  Iteration		V-variation
    1		  50.0
    2		  43.955000000000005
    3		  39.4190405
    4		  34.53237850355
    5		  30.865595888812813
    6		  26.915312105926347
    7		  23.95115540573118
    8		  20.757821801591547
    9		  18.36165440732085
    10		  16.508963477622174
    11		  14.843209062730093
    12		  13.345529268300616
    13		  11.998965365129088
    14		  10.78826975978756
    15		  9.699733341024999
    16		  8.721030246915575
    17		  7.84107829500179
    18		  7.049913495036112
    19		  6.338577223386963
    20		  5.699014781547227
    21		  5.123984190089111
    22		  4.60697418530912
    23		  4.142130490011432
    24		  3.7241895235692866
    25		  3.3484188006411486
    26		  3.0105633436564503
    27		  2.7067975022815105
    28		  2.4336816343013012
    29		  2.1881231574003124
    30		  1.967341530818615
    31		  1.7688367703590302
    32		  1.5903611402298168
    33		  1.4298937011806387
    34		  1.2856174267315055
    35		  1.1558986283742954
    36		  1.0392684567713317
    37		  0.9344062694831123
    38		  0.8401246768922661
    39		  0.7553560969938253
    40		  0.6791406668071502
    41		  0.6106153735263078
    42		  0.5490042823374921
    43		  0.49360975024963594
    44		  0.4438045264494548
    45		  0.3990246497306984
    46		  0.3587630625728693
    47		  0.32256386955926075
    48		  0.2900171751207168
    49		  0.2607544421510397
    50		  0.23444431893799944
    51		  0.2107888871571717
    52		  0.18952028844300628
    53		  0.17039769133910454
    54		  0.15320456428299423
    55		  0.13774622374683787
    56		  0.12384762977078623
    57		  0.11135140392692477
    58		  0.10011604727069567
    59		  0.09001433810107784
    60		  0.08093189138667967
    61		  0.07276586354575443
    62		  0.06542378791399273
    63		  0.05882252771347396
    64		  0.05288733466719009
    65		  0.04755100259927758
    66		  0.04275310643699015
    67		  0.03843931799750777
    68		  0.03456079081156105
    69		  0.03107360701867634
    70		  0.027938280070493704
    71		  0.02511930761136938
    72		  0.022584769473390054
    73		  0.020305966233543415
    74		  0.018257094240574645
    75		  0.016414953431713286
    76		  0.014758684630443497
    77		  0.01326953335122738
    78		  0.011930637436108782
    79		  0.010726836118806204
    80		  0.009644498354422382
    81		  0.008671368470452023
    82		  0.007796427391781435
    83		  0.007009767867963035
    84		  0.006302482290102773
    85		  0.005666561827027294
    86		  0.005094805738671937
    87		  0.004580739839639136
    88		  0.00411854318982563
    89		  0.003702982181977177
    90		  0.0033293512798202585
    91		  0.002993419735698666
    92		  0.002691383684393145
    93		  0.002419823070646032
    94		  0.0021756629228093516
    95		  0.0019561385338988657
    96		  0.001758764155830761
    97		  0.00158130485251462
    98		  0.0014217511928862336
    99		  0.00127829649752087
    100		  0.0011493163809177531
    101		  0.001033350358085272
Iterating stopped, epsilon-optimal policy found.
split
  Iteration		Number of different actions
    1		  1
    2		  1
    3		  1
    4		  1
    5		  1
    6		  1
    7		  1
    8		  1
    9		  0
Iterating stopped, unchanging policy found.
